Código Incidencia;Fecha Apertura;Descripción problema;Impacto Remedy;Sistema;JIRA;DELIV;Descripción Proyecto;Acciones;Status;Fecha Prevista;Motivo Resolución;Peticionario;Computar;Despliegue;Segmento;Tipo solucion
INC000004013214;06-may;[2026R4] - PRJ-10982 - Fibra Oro - Bono inicial de 300 GB en lugar de 400 GB;3-Medio;DES_OCS_OSP;#N/D;;PRJ-10982 Fibra Oro en B2C_Orange;En S7, para un cliente Fibra Oro que se acaba de activar aparece el bono de 300GB (asociado al APN de back-up) en lugar del bono de 400GB inicial incluido en la tarifa (asociado al APN de internet);En Análisis;;;USU_UATS_SAC;NO;MESA;ORANGE;
INC000004004998;28-abr;[2026R4] - PRJ-10982 - Fibra Oro - No se muestra contador consumo en FdC;3-Medio;DES_SOE_MICROSERVICIOS;"MICRO-73901 [ Test /  ] 
FRONTRE-45816 [ Cancelled / Won't Do ] 
FRONTRE-45820 [ Cancelled / Won't Do ] 
FDCOSP-2110 [ Cancelled / Won't Do ] 
MICRO-73788 [ Cancelled / Won't Do ] 
FDCOSP-2108 [ Cancelled / Won't Do ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;reu hoy;En Análisis;;;USU_UATS_SAC;SI;MESA;ORANGE;
INC000004016249;11-may;[2026R4] - PRJ-11022 El formato de la hora esta mal;3-Medio;DSI_ANALISIS_BSCS;#N/D;;PRJ-11022 Migración masiva de SIM a eSIM;;En Análisis;;;USU_UATS_SAC;NO;MESA;ORANGE;
INC000004006940;29-abr;[2026R4] - PRJ-11022 No llega el QR y otra del mismo fichero no avanza el estado;3-Medio;SOP_SMC_BSCS_ONLINE;#N/D;;PRJ-11022 Migración masiva de SIM a eSIM;correctivo aplicado;Resuelto;05-may;Resuelto Administrativo;USU_UATS_SAC;SI;MESA;ORANGE;Resuelto Administrativo
INC000004013305;06-may;[2026R4] - PRJ-11022 Error cambio multisim a multisim esim;3-Medio;SOP_SMC_BSCS_ONLINE;#N/D;;PRJ-11022 Migración masiva de SIM a eSIM;"Resolución: En los valores aportados en el excel adjunto, el ICCID 893401313082511222254 no existe en BSCS.
Necesitamos que se detallen los pasos seguidos, los datos introducidos y una captura del error o descripción exacta";Resuelto;07-may;Descripción Insuficiente;USU_UATS_SAC;NO;MESA;ORANGE;Descripción Insuficiente
INC000004015362;08-may;[2026R4] - PRJ-11022 aplicación externa no sale que tienes la SIM reservada.;3-Medio;DSI_ANALISIS_BSCS;#N/D;;PRJ-11022 Migración masiva de SIM a eSIM;;En Análisis;;;USU_UATS_SAC;NO;MESA;ORANGE;
INC000004005994;29-abr;[2026R4] - PRJ-11212 FASE 2 PRJ-10764 No permite cancelar orden de renove;3-Medio;SOP_SMC_TEIDE;#N/D;;PRJ-11212 Fase 2 PRJ-10764 MPV1: Eliminación Web de Comprobantes;"06/05: La orden está cancelada. Necesitamos que nos confirméis que se ha subido la corrección para permitir cancelar las ordenes que van a Turing y se quedan en estado Pendiente.
04/05: cancelamos manualmente el acto comercial. Debe revisar Turing por qué ellos lo tienen cancelado y la comunicación que mandan a TEIDE indicándolo
30/04: Resolución: el mensaje de error es correcto. El acto comercial ha ido a turing y, por lo tanto, este se debe cancelar desde la vista de actos comerciales (nunca desde la orden, ya que si se hace desde ahí se llamada a WdC)";Resuelto;30-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Cancelado No Aplica
INC000004011396;05-may;[2026R4] - PRJ-11212 FASE 2 PRJ-10764 Texto de grabación incompleto;3-Medio;SOP_TURING_OSP;#N/D;;PRJ-11212 Fase 2 PRJ-10764 MPV1: Eliminación Web de Comprobantes;Resolución: Comprobamos que no se genera correctamente puesto que las DPUs cargadas no contienen los datos necesario para la correcta generación del comprobante y el texto;Resuelto;06-may;Cancelado No Aplica;Grupo Cancelacion SMC;NO;MESA;ORANGE;Cancelado No Aplica
INC000004011787;05-may;[2026R4] - PRJ-11212 FASE 2 PRJ-10764 Parámetros incorrectos en el texto de grabación;3-Medio;SOP_TURING_OSP;#N/D;;PRJ-11212 Fase 2 PRJ-10764 MPV1: Eliminación Web de Comprobantes;Resolución: Comprobamos que no se genera correctamente puesto que las DPUs cargadas no contienen los datos necesario para la correcta generación del comprobante y el texto;Resuelto;06-may;Resuelto Administrativo;Grupo Cancelacion SMC;NO;MESA;ORANGE;Resuelto Administrativo
INC000004003922;27-abr;[2026R4] FICHA DE CLIENTE // FOUNDEVER SEVILLA // FUNCIONAL;3-Medio;SOP_TURING_OSP;"MICRO-73739 [ Cancelled / Won't Do ] 
INTEPS-29840 [ Blocked /  ] 
";;PRJ-11212 Fase 2 PRJ-10764 MPV1: Eliminación Web de Comprobantes;Estos ajustes impactan en la lógica de obtención del channel y el código del comprobante, dentro del proceso de generación del informe, lo que está provocando el comportamiento observado en producción.Durante la fase previa a la subida no se llegó a cubrir este flujo específico dentro de las validaciones realizadas en entornos anteriores, por lo que el impacto no fue detectado antes de su despliegue.;Solución Rechazada;07-may;;APL_ING_CALL_CENTER;SI;MESA;ORANGE;
